40.742684984899114,-73.89565260528727,04/05/2016 09:54:00 AM,Traffic Signal Condition
40.74056242184691,-73.80927199690508,04/05/2016 11:25:00 AM,Street Light Condition
40.75776969709957,-73.77315209186933,04/05/2016 10:38:33 AM,Building/Use
40.66795462796339,-73.87006423960953,04/05/2016 03:10:00 PM,Traffic Signal Condition
40.820882482821425,-73.93726380714719,02/05/2016 10:42:18 AM,ELECTRIC
40.687116301425135,-73.86099807904922,02/05/2016 02:31:39 PM,UNSANITARY CONDITION
40.645997236777575,-74.01633841897088,04/05/2016 07:44:48 PM,Street Condition
40.62395172710876,-73.98888317004032,03/05/2016 05:03:00 AM,Traffic Signal Condition
40.7589214863345,-73.92565218952625,03/05/2016 09:42:00 AM,Traffic Signal Condition
40.5721317831442,-74.10808725940342,03/05/2016 09:34:00 AM,Traffic Signal Condition
40.685451698352715,-73.994407613302,03/05/2016 03:22:00 PM,Traffic Signal Condition
40.55408631321056,-74.19275068068863,03/05/2016 03:21:00 PM,Traffic Signal Condition
40.769096230184054,-73.83366022385192,03/05/2016 06:17:00 AM,Traffic Signal Condition
40.63367281444026,-74.12944026998728,03/05/2016 09:44:00 AM,Traffic Signal Condition
40.73373982686766,-73.95484239724198,03/05/2016 03:19:00 PM,Traffic Signal Condition
40.6439178480001,-74.00079635598705,03/05/2016 12:09:00 PM,Traffic Signal Condition
40.685414556460216,-73.86330204235324,03/05/2016 11:00:00 AM,Traffic Signal Condition
40.78662850659504,-73.8272932967069,03/05/2016 06:13:00 AM,Traffic Signal Condition
40.88486808373441,-73.89080395748026,03/05/2016 08:12:00 AM,Traffic Signal Condition
40.85637024142327,-73.93014868112249,03/05/2016 07:44:02 AM,Boilers
40.6814383850863,-73.83864889161418,03/05/2016 08:30:00 AM,Traffic Signal Condition
40.648611430448035,-73.99951350397637,03/05/2016 12:28:00 PM,Traffic Signal Condition
40.63089635875584,-73.99282698910628,03/05/2016 10:17:00 AM,Traffic Signal Condition
40.762350015531965,-73.92618622699398,03/05/2016 08:35:00 AM,Traffic Signal Condition
40.679361467751676,-73.87974037801285,03/05/2016 04:18:00 AM,Traffic Signal Condition
40.73373982686766,-73.95484239724198,03/05/2016 04:24:00 PM,Traffic Signal Condition
40.759295285776865,-73.92645311765416,03/05/2016 09:43:00 AM,Traffic Signal Condition
40.67381319104551,-73.85718643676984,02/05/2016 11:48:09 AM,Special Enforcement
40.58343041912858,-73.8169030757941,03/05/2016 10:05:00 AM,Traffic Signal Condition
40.72146190526075,-73.80452852154046,03/05/2016 10:05:00 AM,Traffic Signal Condition
40.68565449514455,-73.8642678728558,03/05/2016 12:05:00 PM,Traffic Signal Condition
40.61117295640112,-73.9770106470449,03/05/2016 12:45:00 AM,Traffic Signal Condition
40.73722203517497,-73.98139113707924,05/05/2016 01:04:00 AM,Noise
40.82842514755085,-73.86650602729434,01/05/2016 02:03:24 PM,General Construction/Plumbing
40.62978718016208,-74.02734777577383,01/05/2016 01:20:13 PM,Investigations and Discipline (IAD)
40.641208521296704,-74.00721735872256,01/05/2016 10:05:12 AM,General Construction/Plumbing
40.76889776774665,-73.79715807819257,05/05/2016 07:31:00 PM,Water System
40.691095112867345,-73.78674270237298,05/05/2016 03:58:57 PM,Building/Use
40.80943098839407,-73.94149747628079,02/05/2016 04:00:15 PM,DOOR/WINDOW
40.76749177436332,-73.92753431877918,03/05/2016 08:50:24 PM,PAINT/PLASTER
40.67515321314177,-73.949207624845,02/05/2016 04:28:14 PM,UNSANITARY CONDITION
40.85322393751273,-73.91644842496252,02/05/2016 03:11:04 PM,PLUMBING
40.85322393751273,-73.91644842496252,02/05/2016 03:11:04 PM,WATER LEAK
40.6507119036355,-73.91765343883407,02/05/2016 12:54:55 PM,GENERAL
40.85322393751273,-73.91644842496252,02/05/2016 03:11:04 PM,WATER LEAK
40.79766324844062,-73.93936966572109,05/05/2016 03:20:52 PM,Illegal Parking
40.72060673194784,-74.00356427629369,05/05/2016 07:05:00 AM,Water System
40.70589189627768,-74.00718108060579,05/05/2016 01:55:23 PM,Noise - Street/Sidewalk
40.59238723338635,-73.96484695056695,04/05/2016 07:30:28 PM,Street Condition
40.61980743888107,-74.00662429712922,01/05/2016 04:22:53 PM,SAFETY
40.75591985771908,-73.83256696789964,01/05/2016 01:58:54 PM,UNSANITARY CONDITION
40.62401533912788,-74.00357712982643,01/05/2016 08:54:28 AM,APPLIANCE
40.62401533912788,-74.00357712982643,01/05/2016 08:54:28 AM,APPLIANCE
40.62401533912788,-74.00357712982643,01/05/2016 08:54:28 AM,ELECTRIC
40.82155481156099,-73.95454434550449,01/05/2016 01:46:23 PM,UNSANITARY CONDITION
40.73669085103913,-73.99311870885126,04/05/2016 03:26:00 AM,Noise
40.75591985771908,-73.83256696789964,01/05/2016 01:58:54 PM,GENERAL
40.82155481156099,-73.95454434550449,01/05/2016 01:46:23 PM,UNSANITARY CONDITION
40.61980743888107,-74.00662429712922,01/05/2016 04:22:53 PM,UNSANITARY CONDITION
40.82155481156099,-73.95454434550449,01/05/2016 01:46:23 PM,PAINT/PLASTER
40.82155481156099,-73.95454434550449,01/05/2016 01:46:23 PM,PAINT/PLASTER
40.62401533912788,-74.00357712982643,01/05/2016 08:54:28 AM,DOOR/WINDOW
40.62401533912788,-74.00357712982643,01/05/2016 08:54:28 AM,APPLIANCE
40.61980743888107,-74.00662429712922,01/05/2016 04:22:53 PM,PAINT/PLASTER
40.61980743888107,-74.00662429712922,01/05/2016 04:22:53 PM,GENERAL
